name,address
St Spiridon Cathedral-Orthodox Church In America,"1310 Harrison StSeattle, WA 98109"
New Horizons Ministries,"2709 3rd AveSeattle, WA 98121"
Vietnamese Buddhist Associat Ion,"1651 S King StSeattle, WA 98144"
Vedanta Society Of Western Washington,"2716 Broadway ESeattle, WA 98102"
Quest Church,"3223 15th Ave WSeattle, WA 98119"
The Blue Heron Zen Community,"10303 Densmore Ave NSeattle, WA 98133"
Epic Life Church,"10510 Stone Ave NSeattle, WA 98133"
Chinese Baptist Church,"5801 Beacon Ave SSeattle, WA 98108"
Northgate Gospel Chapel,"14330 15th Ave NESeattle, WA 98125"
Universal Life Church Monastery,"2730 1st Ave SSeattle, WA 98134"
Korean Catholic School,"11700 1st Ave NESeattle, WA 98125"
Admiral Congregational United Church,"4320 SW Hill StSeattle, WA 98116"
Little Pilgrim School,"9140 California Ave SWSeattle, WA 98136"
Church of Apostles,"4272 Fremont Ave NSeattle, WA 98103"
Temple Beth Am,"2632 NE 80th StSeattle, WA 98115"
St Catherine of Siena Church,"814 NE 85th StSeattle, WA 98115"
Mount Calvary Christian Center-Cogic,"1412 23rd AveSeattle, WA 98122"
Queen Anne Christian Church,"1316 3rd Ave WSeattle, WA 98119"
New Light Christian Church,"4620 S Findlay StSeattle, WA 98118"
Eastridge Christian Assembly,"4500 39th Ave SWSeattle, WA 98116"
Calvary Chapel West Seattle,"4217 SW Oregon StSeattle, WA 98116"
Fauntleroy Church Ucc,"9140 California Ave SWSeattle, WA 98136"
University Christian Church,"4731 15th Ave NESeattle, WA 98105"
First Presbyterian Church,"1013 8th AveSeattle, WA 98104"
Horizon Church,"602 Valley StSeattle, WA 98109"
All Saints Episcopal Church,"5150 S Cloverdale PlSeattle, WA 98118"
Beacon Hill First Baptist Church,"1607 S Forest StSeattle, WA 98144"
Seattle Open Door Church,"625 SW 149th StSeattle, WA 98166"
University Presbyterian Church,"4540 15th Ave NESeattle, WA 98105"
International Full Gospel,"12345 8th Ave NESeattle, WA 98125"
Seattle Formosan Christian Church,"333 NE 76th StSeattle, WA 98115"
Goodwill Baptist Church,"126 15th AveSeattle, WA 98122"
Glen Acres Church Of Christ,"11401 10th Ave SSeattle, WA 98168"
Church of Christ Southside,"12200 59th Ave SSeattle, WA 98178"
Fellowship Of Reconciliation,"225 N 70th StSeattle, WA 98103"
Our Lady Of The Lake Church,"3517 NE 89th StSeattle, WA 98115"
Church of Christ,"22225 9th Ave SSeattle, WA 98198"
Gift Of Grace Lutheran Church,"2323 E Cherry StSeattle, WA 98122"
Ballard First Lutheran Church,"152 26th AveSeattle, WA 98122"
First United Methodist Church,"2116 W Dravus StSeattle, WA 98199"
Seattle Buddhist Church,"3412 NE 65th StSeattle, WA 98115"
First Free Methodist Church,"3420 SW Cloverdale StSeattle, WA 98126"
Japanese Baptist Church,"9601 35th Ave SWSeattle, WA 98126"
"Plymouth Congregational Church, UCC","7503 18th Ave NWSeattle, WA 98117"
Luz Del Mundo,"4157 California Ave SWSeattle, WA 98116"
Co Lam Pagoda,"2900 SW Myrtle StSeattle, WA 98126"
Vedanta Society Of Western Washington,"14054 Wallingford Ave NSeattle, WA 98133"
New Horizons Ministries,"1805 38th AveSeattle, WA 98122"
Filipino American Sda Church,"3601 California Ave SWSeattle, WA 98116"
Lake City Christian Church,"4310 SW Oregon StSeattle, WA 98116"
Ballard Baptist Church,"4220 SW 100th StSeattle, WA 98146"
Church of the Ascension,"10404 34th Ave SWSeattle, WA 98146"
Woodland Park Presbyterian Church,"4040 NE 105th StSeattle, WA 98125"
University Lutheran Church,"12421 Renton Ave SSeattle, WA 98178"
Beacon United Methodist Church,"18826 3rd Ave NWSeattle, WA 98177"
Haller Lake United Methodist,"1305 S Lander StSeattle, WA 98144"
Peace Lutheran Church ELCA,"2807 15th Ave SSeattle, WA 98144"
Keystone Congregational Church,"4105 California Ave SWSeattle, WA 98116"
Philadelphia Church,"5019 Keystone Pl NSeattle, WA 98103"
Nichiren Buddhist Church,"8500 14th Ave NWSeattle, WA 98117"
St Spiridon Cathedral-Orthodox Church In America,"10005 32nd Ave NESeattle, WA 98125"
Vietnamese Buddhist Associat Ion,"11800 Renton Ave SSeattle, WA 98178"
Quest Church,"801 25th AveSeattle, WA 98122"
The Blue Heron Zen Community,"5071 Delridge Way SWSeattle, WA 98106"
Epic Life Church,"4515 16th Ave NESeattle, WA 98105"
University Unitarian Church,"4402 S Graham StSeattle, WA 98118"
Samoan Community Church Of Seattle,"6757 38th Ave SSeattle, WA 98118"
Community Of Hope,"8600 9th Ave SWSeattle, WA 98106"
The Wormhole,"8620 16th Ave SSeattle, WA 98108"
Unification Church,"6601 NE Windermere RdSeattle, WA 98115"
Arbor Heights Community Church,"4113 SW 102nd StSeattle, WA 98146"
Shoreline Sda Church,"17424 5th Ave NESeattle, WA 98155"
St Alphonsus School,"5816 15th Ave NWSeattle, WA 98107"
Fremont Baptist Church,"717 N 36th StSeattle, WA 98103"
Saint Pauls Episcopal Church,"15 Roy StSeattle, WA 98109"
University Unitarian Church,"6556 35th Ave NESeattle, WA 98115"
Grace Fellowship,"410 NW 62nd StSeattle, WA 98107"
Saint Mary's Church,"611 20th Ave SSeattle, WA 98144"
Grace Church,"10323 28th Ave SWSeattle, WA 98146"
Walker Chapel AME,"800 28th Ave SSeattle, WA 98144"
Cross And Crown Church,"4554 12th Ave NESeattle, WA 98105"
Curry Temple Christian Methodist Episcopal Church,"172 23rd AveSeattle, WA 98122"
Episcopal Diocese Of Olympia,"1551 10th Ave ESeattle, WA 98102"
Seattle Church,"6115 Beacon Ave SSeattle, WA 98108"
Christ the Cornerstone Church,"6318 Linden Ave NSeattle, WA 98103"
Cross Point Church,"806 N 64th StSeattle, WA 98103"
Archdiocese of Seattle,"710 9th AveSeattle, WA 98104"
Georgetown Community Church,"6606 Carleton Ave SSeattle, WA 98108"
St John United Lutheran Elca,"5515 Phinney Ave NSeattle, WA 98103"
The Body of Christ SBC Seattle,"1320 SW 102nd StSeattle, WA 98146"
Light For Life New Church,"3515 S Alaska StSeattle, WA 98118"
First AME Child Development,"1522 14th AveSeattle, WA 98122"
Church Of Jesus Christ Of Latter Day Saints,"9500 Myers Way SSeattle, WA 98108"
Shorewood Foursquare Church,"10300 28th Ave SWSeattle, WA 98146"
Amazing Grace Christian School,"10056 Renton Ave SSeattle, WA 98178"
Mt Baker Park Presbyterian Church,"3201 Hunter Blvd SSeattle, WA 98144"
Pinnacle An American Services Co,"206 1st Ave SSeattle, WA 98104"
Upi Grand Central,"206 1st Ave SSeattle, WA 98104"
Faith Bible Church,"128 18th AveSeattle, WA 98122"
Catholic Charities,"100 23rd Ave SSeattle, WA 98144"
Emerald City Bible Fellowship,"7728 Rainier Ave SSeattle, WA 98118"
Amazing Grace Spiritual Center,"2007 S State StSeattle, WA 98144"
Metropolitan Community Church,"1415 NE 43rd StSeattle, WA 98105"
Seattles Union Gospel Mission,"3802 S Othello StSeattle, WA 98118"
New Apostolic Church,"3210 SW 106th StSeattle, WA 98146"
New Birth Ministries,"12643 Renton Ave SSeattle, WA 98178"
Prospect Ucc Congregational,"1919 E Prospect StSeattle, WA 98112"
Emmanuel Bible Church,"503 N 50th StSeattle, WA 98103"
Chinese Southern Baptist Church,"925 S King StSeattle, WA 98104"
Antioch Missionary Baptist Church,"1445 S Main StSeattle, WA 98144"
New Hope Missionary Baptist Church,"124 21st AveSeattle, WA 98122"
Cherry Hill Baptist Church,"700 22nd AveSeattle, WA 98122"
Greater Mt Baker Baptist Church,"2425 S Jackson StSeattle, WA 98144"
Trinity Christ Memorial,"702 19th Ave ESeattle, WA 98112"
Tabernacle Missionary Baptist,"2801 S Jackson StSeattle, WA 98144"
Sunlight Missionary Baptist Church,"711 29th Ave SSeattle, WA 98144"
Queen Anne Baptist Church,"2011 1st Ave NSeattle, WA 98109"
New Direction Missionary Baptist Church,"755 S Homer StSeattle, WA 98108"
Elim Baptist Church,"2410 N 46th StSeattle, WA 98103"
Greater New Bethel Missionary Baptist Church,"5279 Rainier Ave SSeattle, WA 98118"
Wedgwood Community Church Inc,"8201 30th Ave NESeattle, WA 98115"
St. Paul Missionary Baptist Church,"9285 57th Ave SSeattle, WA 98118"
Beverly Park First Baptist Church,"11659 1st Ave SSeattle, WA 98168"
Capitol Hill Presbyterian Church,"1729 Harvard AveSeattle, WA 98122"
St Peter's Episcopal Church,"1610 S King StSeattle, WA 98144"
Bethany Cherch of Christ,"2417 S King StSeattle, WA 98144"
Queen Anne Presbyterian Church,"414 W Howe StSeattle, WA 98119"
Magnolia Presbyterian Church,"3051 28th Ave WSeattle, WA 98199"
Bethany United Church Of Christ,"6230 Beacon Ave SSeattle, WA 98108"
Iglesia De Cristo,"7100 42nd Ave SSeattle, WA 98118"
St. Andrew's Episcopal Church,"111 NE 80th StSeattle, WA 98115"
Wedgwood Presbyterian Church,"8008 35th Ave NESeattle, WA 98115"
Seattle Lamp First Korean Church,"11508 Roosevelt Way NESeattle, WA 98125"
Svdp At St James Cathedral,"907 Columbia StSeattle, WA 98104"
Washington State Catholic,"803 Terry AveSeattle, WA 98104"
Gethsemane Lutheran Church,"911 Stewart StSeattle, WA 98101"
Trinity Lutheran Church,"1200 10th Ave ESeattle, WA 98102"
Grace United Methodist Church,"722 30th Ave SSeattle, WA 98144"
St Anne School,"101 W Lee StSeattle, WA 98119"
Saint Anne Parish,"1411 1st Ave WSeattle, WA 98119"
Queen Anne Lutheran Church,"2400 8th Ave WSeattle, WA 98119"
Pnw Conference Office,"3120 3rd Ave WSeattle, WA 98119"
Saint Margaret Catholic Church,"3221 14th Ave WSeattle, WA 98119"
Saint Georges Church,"5306 13th Ave SSeattle, WA 98108"
Magnolia Lutheran Church,"2414 31st Ave WSeattle, WA 98199"
Lutheran Church-The Rsrrctn,"3414 W McGraw StSeattle, WA 98199"
Saint Marks Lutheran Church,"6020 Beacon Ave SSeattle, WA 98108"
Magnolia United Methodist Church,"2836 34th Ave WSeattle, WA 98199"
Ravenna United Methodist Church,"5751 33rd Ave NESeattle, WA 98105"
Rock Of Ages Lutheran Brethren Church,"316 N 70th StSeattle, WA 98103"
Messiah Lutheran Church,"7050 35th Ave NESeattle, WA 98115"
Faith Lutheran Church,"8208 18th Ave NESeattle, WA 98115"
Concordia Lutheran Preschool,"12509 27th Ave NESeattle, WA 98125"
Lamb Of God Lutheran Church,"12509 27th Ave NESeattle, WA 98125"
St Bernadette School,"1028 SW 128th StSeattle, WA 98146"
Western Washington Catholic Charismatic Renewal,"936 N 143rd StSeattle, WA 98133"
God's Pentecostal Temple,"150 16th AveSeattle, WA 98122"
Tolliver Temple Church of God in Christ,"1915 E Fir StSeattle, WA 98122"
Trinity Faith Temple,"601 21st AveSeattle, WA 98122"
Aquarian Foundation,"315 15th Ave ESeattle, WA 98112"
Bethel Christian Church,"200 24th Ave SSeattle, WA 98144"
Ebenezer AME Zion Church,"1716 23rd AveSeattle, WA 98122"
Hubbard Dianetics Foundation,"300 W Harrison StSeattle, WA 98119"
Cabrini Ministry Training,"2307 Minor Ave ESeattle, WA 98102"
Berean Church Of God In Christ,"3417 Rainier Ave SSeattle, WA 98144"
Rose Of Sharon Pentecostal Temple,"4103 Rainier Ave SSeattle, WA 98118"
Latin American Assemblies Of God Temple El Redentor,"5500 17th Ave SSeattle, WA 98108"
Church Of Jesus Christ Of Latter Day Saints,"2415 31st Ave WSeattle, WA 98199"
Christian Reading Room,"3210 W Mcgraw StSeattle, WA 98199"
Covenant House Campus,"4525 19th Ave NESeattle, WA 98105"
Hillel Uw,"4745 17th Ave NESeattle, WA 98105"
Jehovah's Witnesses,"2214 N 56th StSeattle, WA 98103"
Quest Ministries,"1401 NW Leary WaySeattle, WA 98107"
Cross & Crown Church,"1401 NW Leary WaySeattle, WA 98107"
Congregation Tikvah Chadashah,"5002 35th Ave NESeattle, WA 98105"
Queen Anne Congregation,"3626 34th Ave WSeattle, WA 98199"
Intercommunity Peace & Justice Center,"1216 NE 65th StSeattle, WA 98115"
Beacon Ave Church of God,"7225 Beacon Ave SSeattle, WA 98108"
Oromo Church-God-Prophecy,"850 S Cloverdale StSeattle, WA 98108"
Bethany Community Church,"8023 Green Lake Dr NSeattle, WA 98103"
North Seattle Friends Church,"7740 24th Ave NESeattle, WA 98115"
Medhane-Alem Evangelical Church Ethiopian,"8445 Rainier Ave SSeattle, WA 98118"
Olympic View Community Church,"425 NE 95th StSeattle, WA 98115"
Victory Outreach Church,"10821 1st Ave SSeattle, WA 98168"
Living Way Church,"400 N 105th StSeattle, WA 98133"
Northgate,"111 NE 120th StSeattle, WA 98125"
Seattle Branch-Tensho-Kotai,"8445 Rainier Ave SSeattle, WA 98118"
Seattle Mennonite Church,"425 NE 95th StSeattle, WA 98115"
Central Org for Jewish Education-Chabad Regional Offices,"400 N 105th StSeattle, WA 98133"
Olympic Hills Church of The Nazarene,"2302 NE 125th StSeattle, WA 98125"
High Point Lighthouse Aog,"3120 NE 125th StSeattle, WA 98125"
Trinity West Seattle Church,"12510 33rd Ave NESeattle, WA 98125"
All Pilgrims Christian Church,"1919 E Prospect StSeattle, WA 98112"
Findlay Street Christian Church,"11659 1st Ave SSeattle, WA 98168"
Hope Christian Church,"7740 24th Ave NESeattle, WA 98115"
Hope Christian Church,"2007 33rd Ave SSeattle, WA 98144"
Greenwood Christian Church,"5822 17th Ave SSeattle, WA 98108"
Seattle Vietnam Christian Church,"5050 8th Ave NESeattle, WA 98105"
Seattle First Baptist Church,"1625 S Columbian WaySeattle, WA 98108"
Peoples Institutional Baptist Church,"7551 35th Ave SWSeattle, WA 98126"
Shiloh Missionary Baptist Church,"4620 S Findlay StSeattle, WA 98118"
St Matthew Missionary Baptist,"517 NE 72nd StSeattle, WA 98115"
Gtr Mt Moriah Baptist Church,"517 N 72nd StSeattle, WA 98103"
University Baptist Church,"8018 Fremont Ave NSeattle, WA 98103"
South Park Missionary Baptist Church,"137 SW 116th StSeattle, WA 98146"
Highland Park Baptist Church,"159 24th AveSeattle, WA 98122"
Paradise Baptist Church,"715 23rd Ave SSeattle, WA 98144"
Oak Lake Baptist Church,"3011 S Jackson StSeattle, WA 98144"
Columbia Baptist Conference,"4055 38th Ave SSeattle, WA 98118"
Madison Park Church of Christ,"4554 12th Ave NESeattle, WA 98105"
The Episcopal Church Seattle Regional Offices,"8510 8th Ave SSeattle, WA 98108"
Japanese Presbyterian Church,"1505 SW Barton StSeattle, WA 98106"
Madrona Community Presbyterian Church,"4353 S Henderson StSeattle, WA 98118"
Holgate Church of Christ,"901 N 96th StSeattle, WA 98103"
St Clement's Episcopal Church,"925 N 130th StSeattle, WA 98133"
Ebenezer Ame Zion Church Parsonaze,"1115 19th AveSeattle, WA 98122"
Presbytery Of Seattle,"1544 S Snoqualmie StSeattle, WA 98108"
Wallingford Presbyterian Church,"1414 N 42nd StSeattle, WA 98103"
The Junction Church,"4157 California Ave SWSeattle, WA 98116"
Columbia Lakewood Comm Church,"5005 S Ferdinand StSeattle, WA 98118"
Graham Street Church Of Christ,"3108 S Graham StSeattle, WA 98108"
St Stephens,"4805 NE 45th StSeattle, WA 98105"
Green Lake Presbyterian Church,"6318 Linden Ave NSeattle, WA 98103"
Reformed Presbyterian Church,"1915 NE 68th StSeattle, WA 98115"
Life Change Church,"7930 Rainier Ave SSeattle, WA 98118"
Awake Church,"8914 Aurora Ave NSeattle, WA 98103"
Living Hope Presbyterian Church,"2656 SW 104th StSeattle, WA 98146"
United Church Of Christ Conference Office,"325 N 125th StSeattle, WA 98133"
Broadview Community United Church of Christ,"325 N 125th StSeattle, WA 98133"
Lake City Presbyterian Church,"3841 NE 123rd StSeattle, WA 98125"
The Berean Church,"11720 64th Ave SSeattle, WA 98178"
Freedom Church,"7817 S 125th StSeattle, WA 98178"
Archdiocese Of Seattle,"1104 Spring StSeattle, WA 98104"
Church of Christ Scientist,"1261 Madison StSeattle, WA 98104"
Panorama,"2225 4th Ave Ste 200Seattle, WA 98121"
Mary's Place Seattle,"314 Bell StSeattle, WA 98121"
Catholic Housing Services,"118 Bell StSeattle, WA 98121"
Central Lutheran Church,"1710 11th AveSeattle, WA 98122"
Lutheran Public Policy Office of Washington State,"766 John St Ste BSeattle, WA 98109"
Gethsemane Lutheran Church,"766 John StSeattle, WA 98109"
Denny Park Lutheran Church,"766 John StSeattle, WA 98109"
Lutheran Church of the Resurrection,"766 John StSeattle, WA 98109"
Fame Church,"1522 14th AveSeattle, WA 98122"
First Church Of Christ,"900 Thomas St # 100Seattle, WA 98109"
The Fellowship,"1504 13th Ave SSeattle, WA 98144"
Christian Resotration Center,"2001 S Norman StSeattle, WA 98144"
Welcome Table Christian Church,"1322 S Bayview StSeattle, WA 98144"
Mount Calvary Cme Church,"2530 E Madison StSeattle, WA 98112"
Josef Stanichar Father,"1305 S Lander StSeattle, WA 98144"
Queen Anne United Methodist Church,"1606 5th Ave WSeattle, WA 98119"
Convocation A Church & Ministry,"2007 33rd Ave SSeattle, WA 98144"
Blaine Memorial United Methodist Church,"3001 24th Ave SSeattle, WA 98144"
St Patrick's Church,"2702 Broadway ESeattle, WA 98102"
Wallingford Child Care Center,"2115 N 42nd StSeattle, WA 98103"
Our Lady-Zarvanycia Mother-God,"5321 17th Ave SSeattle, WA 98108"
All Souls Church Of Seattle,"4138 California Ave SWSeattle, WA 98116"
Hope Lutheran Church Missouri Synod,"4456 42nd Ave SWSeattle, WA 98116"
Lutheran Volunteer Corps,"3808 S Angeline StSeattle, WA 98118"
St Benedict Church,"1805 N 49th StSeattle, WA 98103"
Evangelical Lutheran Church,"5519 Phinney Ave NSeattle, WA 98103"
Saint Edward School,"4212 S Mead StSeattle, WA 98118"
Rainier Avenue Church,"4517 S Juneau StSeattle, WA 98118"
Greenlake United Methodist Church,"6415 1st Ave NESeattle, WA 98115"
St Bridget Church,"4900 NE 50th StSeattle, WA 98105"
Assumption Catholic Church,"6201 33rd Ave NESeattle, WA 98115"
Namaste Peace Project,"225 N 70th StSeattle, WA 98103"
Bethany Lutheran Church,"7400 Woodlawn Ave NESeattle, WA 98115"
Bethel Chinese Lutheran Church,"6553 40th Ave NESeattle, WA 98115"
Phinney Ridge Lutheran Church,"7500 Greenwood Ave NSeattle, WA 98103"
Trinity United Methodist Church,"6512 23rd Ave NWSeattle, WA 98117"
Fairview Church,"844 NE 78th StSeattle, WA 98115"
Woodland Park United Methodist Church,"302 N 78th StSeattle, WA 98103"
Ballard Church,"1460 NW 73rd StSeattle, WA 98117"
St. John the Evangelist Catholic Church,"7916 1st Ave NWSeattle, WA 98117"
Sand Point Community Church-United Methodist,"4710 NE 70th StSeattle, WA 98115"
PNW Higland Park,"9001 9th Ave SWSeattle, WA 98106"
First Tongan United Methodist Church,"9001 9th Ave SWSeattle, WA 98106"
Lakeview Free Methodist Church,"9412 15th Ave NESeattle, WA 98115"
Our Lady Of The Lake Faith Formation,"8900 35th Ave NESeattle, WA 98115"
Our Redeemer's Lutheran Church,"2400 NW 85th StSeattle, WA 98117"
Rainier Beach United Methodist Church,"5500 S Roxbury StSeattle, WA 98118"
Grace Lutheran Church,"11051 Phinney Ave NSeattle, WA 98133"
Latvian Evangelical Lutheran Church,"11710 3rd Ave NESeattle, WA 98125"
Christ The King Parish,"405 N 117th StSeattle, WA 98133"
North Seattle Alliance Church,"2150 N 122nd StSeattle, WA 98133"
Grace Lutheran Church,"538 NE 127th StSeattle, WA 98125"
Eritrean Evangelical Lutheran Church,"12509 27th Ave NESeattle, WA 98125"
St Matthew's School,"1230 NE 127th StSeattle, WA 98125"
St Matthew's Church,"1240 NE 127th StSeattle, WA 98125"
Restoration Bible Church,"228 S 128th StSeattle, WA 98168"
Luther Memorial Church,"13047 Greenwood Ave NSeattle, WA 98133"
Lakeridge Lutheran Church,"7465 S 112th StSeattle, WA 98178"
Medhanie Alem Erirea Tewahdo,"11800 Renton Ave SSeattle, WA 98178"
Seattle Word Of God Church,"5510 S 129th StSeattle, WA 98178"
University District Childrens Center,"5031 University Way NESeattle, WA 98105"
Damascus Baptist Church,"5261 Rainier Ave SSeattle, WA 98118"
Body of Christ SBC,"9229 16th Ave SWSeattle, WA 98106"
The Vine Baptist Church,"7750 21st Ave NWSeattle, WA 98117"
Skyline Baptist Church,"7400 Sand Point Way NESeattle, WA 98115"
Christian Science Practitioner Office,"1411 4th Ave Ste 801Seattle, WA 98101"
Gospel Mission Men's Services,"318 2nd Avenue Ext SSeattle, WA 98104"
First Covenant Church,"420 Pine StSeattle, WA 98101"
Jewish Federation of Greater Seattle,"2031 3rd AveSeattle, WA 98121"
Grace Church,"400 E Pine StSeattle, WA 98122"
Metropltan Community Church Seattle,"1122 E Pike StSeattle, WA 98122"
